#Partida,b,c,Descripción,Pto inicial,Pto definitivo,Retenciones,Autorizado,Disponible,Dispuesto,Oblig. recon.
1 0400.601.11.171.00 2024 (110),,,MEJORA FUENTES Y JARDINES,50000.0,50000.0,,0.0,50000.0,0.0,0.0
1 0400.601.14.342.12 2024 (2652),,,OBRAS MENORES,75000.0,75000.0,,0.0,75000.0,0.0,0.0
1 0400.601.14.920.40 2024 (1002),,,OBRAS MENORES,125000.0,125000.0,,0.0,125000.0,0.0,0.0
1 0400.601.33.164.00 2024 (428),,,OBRAS MEJORA CEMENTERIO,60000.0,60000.0,,1105.06,58894.94,1105.06,1105.06
1 0400.623.01.153.40 2024 (75),,,MAQUINARIA,5000.0,5000.0,,3034.51,1965.49,3034.51,1245.71
1 0400.623.01.171.00 2024 (111),,,MAQUINARIA,5000.0,5000.0,,4645.19,354.81,4645.19,4645.19
1 0400.623.02.165.00 2024 (100),,,NUEVAS INSTALAC.ALUMBRADO ,0.0,0.0,,0.0,0.0,0.0,0.0
1 0400.623.02.334.50 2024 (2887),,,INSTALACIONES ERREBAL,0.0,20691.0,,20691.0,0.0,20691.0,12305.7
1 0400.623.03.153.40 2024 (2682),,,ELEMENTOS DE TRANPORTE INTERNO,95000.0,95000.0,,0.0,95000.0,0.0,0.0
1 0400.625.08.334.50 2024 (2310),,,ELECTRODOMESTICOS,2000.0,2000.0,,0.0,2000.0,0.0,0.0
1 0400.625.08.920.40 2024 (2314),,,ELECTRODOMESTICOS,1500.0,1500.0,,179.0,1321.0,179.0,179.0
1 0400.629.01.165.00 2024 (101),,,OTRAS INVERS.MEDID.AHORRO ,100000.0,100000.0,,87749.2,12250.8,87749.2,87749.2
1 0400.629.03.153.30 2024 (60),,,EQUIPAMIENTO URBANO,230000.0,230000.0,,39816.99,190183.01,39816.99,39816.99
1 0400.643.01.153.30 2024 (2681),,,"INVESTIGACION, ESTUDIOS Y ",20000.0,20000.0,,0.0,20000.0,0.0,0.0
1 0400.643.01.920.40 2024 (2707),,,"INVESTIGACION, ESTUDIOS Y ",32835.0,32835.0,,7260.0,25575.0,7260.0,0.0
1 0400.721.01.163.00 2024 (2424),,,MANCOMUNIDAD,25980.37,25980.37,,25980.37,0.0,25980.37,25980.37
1 0500.120.01.230.10 2024 (119),,,RETRIBUCIONES BASICAS,232698.6,232698.6,,187656.65,45041.95,187656.65,187656.65
1 0500.120.01.231.10 2024 (1051),,,RETRIBUCIONES BASICAS,0.0,0.0,,12900.82,-12900.82,12900.82,12900.82
1 0500.120.01.231.50 2024 (156),,,RETRIBUCIONES BASICAS,72877.43,72877.43,,60203.6,12673.83,60203.6,60203.6
1 0500.120.01.231.70 2024 (168),,,RETRIBUCIONES BASICAS,13853.72,13853.72,,11857.79,1995.93,11857.79,11857.79
1 0500.120.01.231.80 2024 (175),,,RETRIBUCIONES BASICAS,19305.69,19305.69,,19969.35,-663.66,19969.35,19969.35
1 0500.121.99.230.10 2024 (120),,,COMPLEMENTOS VARIOS,275284.01,275284.01,,289862.38,-14578.37,289862.38,289862.38
1 0500.121.99.231.10 2024 (1052),,,COMPLEMENTOS VARIOS,0.0,0.0,,21884.28,-21884.28,21884.28,21884.28
1 0500.121.99.231.50 2024 (157),,,COMPLEMENTOS VARIOS,76683.56,76683.56,,82340.45,-5656.89,82340.45,82340.45
1 0500.121.99.231.70 2024 (169),,,COMPLEMENTOS VARIOS,19229.94,19229.94,,18627.64,602.3,18627.64,18627.64
1 0500.121.99.231.80 2024 (176),,,COMPLEMENTOS VARIOS,22730.09,22730.09,,26478.71,-3748.62,26478.71,26478.71
1 0500.130.03.231.10 2024 (140),,,REMUNERACIONES PERSONAL ,107029.52,107029.52,,115865.43,-8835.91,115865.43,115865.43
1 0500.130.03.231.50 2024 (2685),,,LABORAL FIJO,29784.85,29784.85,,0.0,29784.85,0.0,0.0
1 0500.131.01.231.10 2024 (141),,,LABORAL EVENTUAL,33372.5,33372.5,,46.1,33326.4,46.1,46.1
1 0500.160.01.230.10 2024 (122),,,SEGURIDAD SOCIAL,136347.45,136347.45,,126470.66,9876.79,126470.66,126470.66
1 0500.160.01.231.10 2024 (142),,,SEGURIDAD SOCIAL,28931.33,28931.33,,39216.96,-10285.63,39216.96,39216.96
1 0500.160.01.231.50 2024 (158),,,SEGURIDAD SOCIAL,54537.25,54537.25,,41822.92,12714.33,41822.92,41822.92
1 0500.160.01.231.70 2024 (170),,,SEGURIDAD SOCIAL,6719.06,6719.06,,6991.45,-272.39,6991.45,6991.45
1 0500.160.01.231.80 2024 (177),,,SEGURIDAD SOCIAL,14563.69,14563.69,,12261.4,2302.29,12261.4,12261.4
1 0500.160.04.230.10 2024 (123),,,CUOTAS ELKARKIDETZA,8843.25,8843.25,,10383.94,-1540.69,10383.94,10383.94
1 0500.160.04.231.10 2024 (143),,,CUOTAS ELKARKIDETZA,3773.78,3773.78,,3755.5,18.28,3755.5,3755.5
1 0500.160.04.231.50 2024 (159),,,CUOTAS ELKARKIDETZA,2655.87,2655.87,,1583.54,1072.33,1583.54,1583.54
1 0500.160.04.231.70 2024 (171),,,CUOTAS ELKARKIDETZA,795.65,795.65,,791.7,3.95,791.7,791.7
1 0500.201.01.231.40 2024 (150),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,15000.0,15000.0,,15028.88,-28.88,15028.88,15028.88
1 0500.201.01.337.10 2024 (310),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,3800.0,3800.0,,18725.28,-14925.28,18725.28,18725.28
1 0500.211.01.231.40 2024 (151),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,5000.0,5000.0,,560.53,4439.47,560.53,433.48
1 0500.211.01.337.10 2024 (311),,,EDIFIC/OTRAS CONSTRUCC.MANTTO.,45000.0,45000.0,,10791.59,34208.41,10791.59,8812.45
1 0500.221.01.231.40 2024 (152),,,ENERGIA ELECTRICA,5000.0,5000.0,,8720.19,-3720.19,8720.19,8720.19
1 0500.221.01.337.10 2024 (312),,,ENERGIA ELECTRICA,30000.0,30000.0,,30610.89,-610.89,30610.89,30610.89
1 0500.221.04.231.40 2024 (153),,,COMBUSTIBLES Y CARBURANTES,500.0,500.0,,75.32,424.68,75.32,75.32
1 0500.221.04.337.10 2024 (313),,,COMBUSTIBLES Y CARBURANTES,20000.0,20000.0,,9016.14,10983.86,9016.14,9016.14
1 0500.221.05.231.10 2024 (144),,,VESTUARIO,500.0,500.0,,330.81,169.19,330.81,330.81
1 0500.221.90.231.50 2024 (1739),,,OTROS SUMINISTROS.ANDREETXE ,25000.0,25000.0,,29104.64,-4104.64,29104.64,29104.64
1 0500.221.99.231.40 2024 (2684),,,OTROS SUMINISTROS,5000.0,5000.0,,0.0,5000.0,0.0,0.0
1 0500.221.99.231.50 2024 (160),,,OTROS SUMINISTROS.PISO MUJER,3000.0,3000.0,,0.0,3000.0,0.0,0.0
1 0500.226.04.230.10 2024 (37),,,JURIDICOS,500.0,500.0,,0.0,500.0,0.0,0.0
1 0500.226.04.337.10 2024 (1760),,,JURIDICOS,1500.0,1500.0,,839.86,660.14,839.86,254.86
1 0500.226.54.230.10 2024 (2027),,,F.EXTRAORD.COVID19.DISPOSITIVO ,200000.0,200000.0,,118717.77,81282.23,118717.77,118717.77
1 0500.226.58.230.10 2024 (124),,,OTROS GASTOS DIVERSOS ,5060.0,5060.0,,917.98,4142.02,917.98,917.98
1 0500.226.64.231.60 2024 (165),,,INTERV.GLOB.C/COLECT.DIFICULT.,125757.6,125757.6,,103140.53,22617.07,103140.53,59564.35
1 0500.226.69.230.10 2024 (126),,,GASTOS IMPREVISTOS,10000.0,10000.0,,1432.76,8567.24,1432.76,1432.76
1 0500.226.96.337.10 2024 (1761),,,O.GASTOS.DIV.DIAG.PLAN INTERV. A ,80000.0,80000.0,,35284.94,44715.06,35284.94,27566.0
1 0500.226.99.230.11 2024 (1734),,,OTROS GASTOS DIVERSOS,5000.0,5000.0,,0.0,5000.0,0.0,0.0
1 0500.226.99.230.20 2024 (1737),,,OTROS GASTOS DIVERSOS,3000.0,3000.0,,0.0,3000.0,0.0,0.0
1 0500.226.99.231.50 2024 (161),,,OTROS GASTOS DIVERSOS,135966.07,135966.07,,110921.53,25044.54,110921.53,108274.73
1 0500.226.99.231.60 2024 (1219),,,OTROS GASTOS DIVERSOS,20000.0,19127.54,,18700.0,427.54,18700.0,18700.0
1 0500.226.99.231.70 2024 (172),,,OTROS GASTOS DIVERSOS,35000.0,35000.0,,31437.25,3562.75,31437.25,27279.25
1 0500.226.99.231.80 2024 (178),,,OTROS GASTOS DIVERSOS,70100.0,70100.0,,57894.51,12205.49,57894.51,56601.81
1 0500.226.99.337.10 2024 (1762),,,OTROS GASTOS DIVERSOS.,5000.0,5000.0,,3000.0,2000.0,3000.0,0.0
1 0500.227.01.231.40 2024 (154),,,LIMPIEZA,5000.0,5000.0,,1125.3,3874.7,1125.3,0.0
1 0500.227.01.231.90 2024 (2079),,,LIMPIEZA,1478.64,1478.64,,1635.96,-157.32,1635.96,1499.63
1 0500.227.04.231.60 2024 (166),,,CONTRATOS SOCIO-CULTURALES.,370000.0,370000.0,,361286.4,8713.6,361286.4,361286.4
1 0500.227.07.230.10 2024 (2683),,,ESTUDIOS Y TRABAJOS TECNICOS,25000.0,25000.0,,18029.0,6971.0,18029.0,18029.0
1 0500.227.07.231.50 2024 (572),,,ESTUDIOS Y TRABAJOS TECNICOS,10000.0,10000.0,,6655.0,3345.0,6655.0,3327.5
1 0500.227.90.231.10 2024 (145),,,TRABAJOS EXTERNOS,1353273.6,1353273.6,,906819.76,446453.84,906819.76,839926.13
1 0500.227.90.231.50 2024 (2429),,,TRABAJOS EXTERNOS,6000.0,6000.0,,2574.0,3426.0,2574.0,2211.0
1 0500.227.99.230.10 2024 (130),,,OTROS TRABAJOS EXTERIORES,515.0,515.0,,0.0,515.0,0.0,0.0
1 0500.227.99.230.11 2024 (2076),,,OTROS TRABAJOS EXTERIORES,15000.0,15000.0,,0.0,15000.0,0.0,0.0
1 0500.227.99.230.20 2024 (136),,,OTROS TRABAJOS EXTERIORES,6497.7,6497.7,,6497.7,0.0,6497.7,5847.93
1 0500.227.99.231.50 2024 (162),,,OTROS TRABAJOS EXTERIORES,412.0,412.0,,0.0,412.0,0.0,0.0
1 0500.230.01.230.10 2024 (131),,,DIETAS/LOCOMOC/TRASLADO ,100.0,100.0,,218.58,-118.58,218.58,218.58
1 0500.230.01.231.10 2024 (146),,,DIETAS/LOCOMOC/TRASLADO ,100.0,100.0,,0.0,100.0,0.0,0.0
1 0500.230.01.231.50 2024 (163),,,DIETAS/LOCOMOC/TRASLADO ,100.0,100.0,,78.53,21.47,78.53,78.53
1 0500.230.01.231.70 2024 (173),,,DIETAS/LOCOMOC/TRASLADO ,100.0,100.0,,26.28,73.72,26.28,26.28
1 0500.230.01.231.80 2024 (179),,,DIETAS/LOCOMOC/TRASLADO ,100.0,100.0,,385.13,-285.13,385.13,385.13
1 0500.422.03.230.11 2024 (1736),,,TRANSF.OTROS MUNICIPIOS DE ,15000.0,15000.0,,8780.48,6219.52,8780.48,8780.48
1 0500.431.03.231.90 2024 (2080),,,O.A.A.RESIDENCIA SAN ANDRES,30000.0,30000.0,,0.0,30000.0,0.0,0.0
1 0500.480.01.230.20 2024 (137),,,A FAMILIAS.ELKARTASUN BEKAK,3000.0,3000.0,,0.0,3000.0,0.0,0.0
1 0500.480.02.231.60 2024 (587),,,A FAM. TRANSPORTE CENTR.,1000.0,1000.0,,500.0,500.0,500.0,226.0
1 0500.480.03.231.30 2024 (148),,,A FAMILIAS.A.E.S.,750000.0,750000.0,,690390.0,59610.0,690390.0,630194.51
1 0500.480.04.231.70 2024 (174),,,A FAMILIAS. DROGADICCION,2500.0,2500.0,,1680.0,820.0,1680.0,1200.0
1 0500.480.06.230.10 2024 (2425),,,A FAMILIAS.AYUDAS ECNOMICAS ,8000.0,8000.0,,0.0,8000.0,0.0,0.0
1 0500.480.14.231.30 2024 (1820),,,A FAMILIAS AYUDAS A ESTUDIANTES ,0.0,0.0,,0.0,0.0,0.0,0.0
1 0500.480.16.231.30 2024 (149),,,SUBV.DESEMPL/PENSION.ESCAS.,150000.0,150000.0,,135600.0,14400.0,135600.0,135600.0
1 0500.480.19.231.30 2024 (571),,,A FAMIL.COBR.RGI ACT.EXTRAES.,30000.0,30000.0,,21926.0,8074.0,21926.0,21926.0
1 0500.481.01.230.10 2024 (133),,,A INSTITUCIONES SIN FINES DE LUCRO,42000.0,42000.0,,28723.0,13277.0,28723.0,0.0
1 0500.481.01.231.50 2024 (164),,,A INSTITUCIONES SIN FINES DE LUCRO,11100.0,11100.0,,6023.16,5076.84,6023.16,6023.16
1 0500.481.07.337.10 2024 (314),,,A INSTITUC.S/FINES LUCRO.HOG.,75000.0,75000.0,,66567.87,8432.13,66567.87,58451.75
1 0500.481.08.230.20 2024 (138),,,TRANSF.A ENTID.COOP.INTERN.AL ,373812.24,373812.24,,373812.24,0.0,373812.24,299049.79
1 0500.481.14.230.20 2024 (1738),,,TRANSFERENCAS A ENTIDADES EIBAR-,4400.0,4400.0,,1580.0,2820.0,1580.0,0.0
1 0500.481.24.230.20 2024 (2077),,,TRANSFERENCIAS A DESASTRES ,6000.0,6000.0,,6000.0,0.0,6000.0,6000.0
1 0500.481.29.230.20 2024 (139),,,TRANSF.A ENTID.PROG.SENSIBILIZ.,25000.0,25000.0,,25000.0,0.0,25000.0,20000.0
1 0500.481.30.230.10 2024 (990),,,TRANSF.A LA CRUZ ROJA. BANCO DE ,40000.0,40000.0,,40000.0,0.0,40000.0,32000.0
1 0500.625.01.231.50 2024 (2650),,,MOBILIARIO,3000.0,3000.0,,0.0,3000.0,0.0,0.0
1 0500.625.01.337.10 2024 (2437),,,MOBILIARIO,4050.0,4050.0,,4025.0,25.0,4025.0,3545.0
1 0500.625.08.231.40 2024 (2427),,,ELECTRODOMESTICOS,700.0,700.0,,0.0,700.0,0.0,0.0
1 0500.626.01.231.60 2024 (2886),,,EQUIPOS PROCESO DE INFORMACION,0.0,872.46,,872.46,0.0,872.46,872.46
1 0600.226.99.324.10 2024 (199),,,OTROS GASTOS DIVERSOS,60000.0,60000.0,,104557.88,-44557.88,104557.88,101628.44
1 0600.227.99.324.10 2024 (200),,,OTROS TRABAJOS EXTERIORES,593120.12,619120.12,,569195.01,49925.11,569195.01,565361.66
1 0600.481.23.326.20 2024 (202),,,A VARIAS INSTITUC.S/FINES LUCRO,15000.0,15000.0,,15000.0,0.0,15000.0,15000.0
1 0700.120.01.326.10 2024 (1531),,,RETRIBUCIONES BASICAS,14905.53,14905.53,,14231.01,674.52,14231.01,14231.01
1 0700.120.01.330.00 2024 (203),,,RETRIBUCIONES BASICAS,81059.44,81059.44,,72658.35,8401.09,72658.35,72658.35
1 0700.120.01.332.10 2024 (211),,,RETRIBUCIONES BASICAS,93515.95,93515.95,,88225.49,5290.46,88225.49,88225.49
1 0700.120.01.333.30 2024 (237),,,RETRIBUCIONES BASICAS,22855.66,22855.66,,28011.11,-5155.45,28011.11,28011.11
1 0700.120.01.334.30 2024 (265),,,RETRIBUCIONES BASICAS,8303.66,8303.66,,24016.08,-15712.42,24016.08,24016.08
1 0700.120.01.337.20 2024 (2438),,,RETRIBUCIOINES BASICAS,19585.43,19585.43,,0.0,19585.43,0.0,0.0
1 0700.121.99.326.10 2024 (1532),,,COMPLEMENTOS VARIOS,18125.0,18125.0,,21889.03,-3764.03,21889.03,21889.03
1 0700.121.99.330.00 2024 (204),,,COMPLEMENTOS VARIOS,118134.38,118134.38,,131871.58,-13737.2,131871.58,131871.58
1 0700.121.99.332.10 2024 (212),,,COMPLEMENTOS VARIOS,133000.99,133000.99,,168445.56,-35444.57,168445.56,168445.56
1 0700.121.99.333.30 2024 (238),,,COMPLEMENTOS VARIOS,32005.35,32005.35,,52250.41,-20245.06,52250.41,52250.41
1 0700.121.99.334.30 2024 (266),,,COMPLEMENTOS VARIOS,10175.58,10175.58,,45964.81,-35789.23,45964.81,45964.81
1 0700.121.99.337.20 2024 (2439),,,COMPLEMENTOS VARIOS,27575.75,27575.75,,0.0,27575.75,0.0,0.0
1 0700.130.03.326.10 2024 (1533),,,REMUNERACIONES PERSONAL ,176927.95,176927.95,,191941.94,-15013.99,191941.94,191941.94
1 0700.130.03.334.30 2024 (267),,,REMUNERACIONES PERSONAL ,34761.65,34761.65,,0.0,34761.65,0.0,0.0
1 0700.131.01.326.10 2024 (1534),,,LABORAL EVENTUAL,201570.57,201570.57,,203508.52,-1937.95,203508.52,203508.52
1 0700.131.01.334.30 2024 (268),,,LABORAL EVENTUAL,40305.3,40305.3,,67564.49,-27259.19,67564.49,67564.49
1 0700.131.01.334.50 2024 (2091),,,LABORAL EVENTUAL,63249.39,63249.39,,0.0,63249.39,0.0,0.0
1 0700.131.01.920.11 2024 (2033),,,LABORAL EVENTUAL,0.0,0.0,,37709.0,-37709.0,37709.0,37709.0
1 0700.160.01.326.10 2024 (1535),,,SEGURIDAD SOCIAL,195144.7,195144.7,,134307.52,60837.18,134307.52,134307.52
1 0700.160.01.330.00 2024 (205),,,SEGURIDAD SOCIAL,50910.28,50910.28,,51282.74,-372.46,51282.74,51282.74
1 0700.160.01.332.10 2024 (214),,,SEGURIDAD SOCIAL,62213.54,62213.54,,55100.3,7113.24,55100.3,55100.3
1 0700.160.01.333.30 2024 (239),,,SEGURIDAD SOCIAL,13602.14,13602.14,,16344.35,-2742.21,16344.35,16344.35
1 0700.160.01.334.30 2024 (269),,,SEGURIDAD SOCIAL,30335.14,30335.14,,39441.39,-9106.25,39441.39,39441.39
1 0700.160.01.334.50 2024 (2093),,,SEGURIDAD SOCIAL,32887.74,32887.74,,0.0,32887.74,0.0,0.0
1 0700.160.01.337.20 2024 (2440),,,SEGURIDAD SOCIAL,12564.69,12564.69,,0.0,12564.69,0.0,0.0
1 0700.160.01.920.11 2024 (2031),,,SEGURIDAD SOCIAL,0.0,0.0,,7477.24,-7477.24,7477.24,7477.24
1 0700.160.04.326.10 2024 (1536),,,ELKARKIDETZA,6365.17,6365.17,,7086.72,-721.55,7086.72,7086.72
1 0700.160.04.330.00 2024 (206),,,CUOTAS ELKARKIDETZA,4003.9,4003.9,,5268.2,-1264.3,5268.2,5268.2
1 0700.160.04.332.10 2024 (215),,,CUOTAS ELKARKIDETZA,4579.27,4579.27,,3456.51,1122.76,3456.51,3456.51
1 0700.160.04.333.30 2024 (240),,,CUOTAS ELKARKIDETZA,1305.55,1305.55,,1675.32,-369.77,1675.32,1675.32
1 0700.160.04.334.30 2024 (270),,,CUOTAS ELKARKIDETZA,1091.24,1091.24,,1434.38,-343.14,1434.38,1434.38
1 0700.160.04.334.50 2024 (2092),,,ELKARKIDETZA,1091.24,1091.24,,0.0,1091.24,0.0,0.0
1 0700.160.04.337.20 2024 (2441),,,ELKARKIDETZA,1305.55,1305.55,,0.0,1305.55,0.0,0.0
1 0700.160.04.920.11 2024 (2032),,,ELKARKIDETZA,0.0,0.0,,1085.98,-1085.98,1085.98,1085.98
1 0700.201.01.337.20 2024 (315),,,EDIFICIOS Y OTRAS CONSTRUCCIONES,2000.0,2000.0,,0.0,2000.0,0.0,0.0
1 0700.202.01.334.40 2024 (279),,,"MAQUINARIA, INSTALACIONES Y ",1500.0,1500.0,,933.1,566.9,933.1,933.1
1 0700.212.01.332.10 2024 (216),,,"MAQUINARIA, INSTALACIONES Y ",4750.0,4750.0,,4592.02,157.98,4592.02,4592.02
1 0700.212.01.337.20 2024 (316),,,"MAQUINARIA, INSTALACIONES Y ",721.0,721.0,,0.0,721.0,0.0,0.0
1 0700.215.02.326.10 2024 (2312),,,APLICACION INFORMATICA,5000.0,5000.0,,2792.44,2207.56,2792.44,2792.44
1 0700.215.02.333.10 2024 (227),,,MANTENIMIENTO DE APLICACIONES,10000.0,10000.0,,13349.1,-3349.1,13349.1,13215.84
1 0700.215.02.334.50 2024 (1755),,,MANTENIMIENTO DE APLICACIONES,8000.0,0.0,,0.0,0.0,0.0,0.0
1 0700.219.01.333.30 2024 (241),,,OTROS MANTENIMIENTOS,8000.0,7578.0,,3856.28,3721.72,3856.28,3856.28
1 0700.220.01.333.30 2024 (242),,,ORDINARIO NO INVENTARIABLE,8000.0,8000.0,,7618.47,381.53,7618.47,7224.58
1 0700.220.02.332.10 2024 (217),,,PRENSA/REVISTAS/LIBROS/OTRAS ,35000.0,35000.0,,31327.79,3672.21,31327.79,27677.17
1 0700.221.09.333.10 2024 (230),,,PRODUCTOS DE LIMPIEZA Y ASEO,2000.0,2000.0,,645.67,1354.33,645.67,645.67
1 0700.221.91.326.10 2024 (1825),,,MATERIAL ESPECIFICO COVID-19,500.0,500.0,,0.0,500.0,0.0,0.0
1 0700.221.91.333.10 2024 (1824),,,MATERIAL ESPECIFICO COVID-19,1000.0,1000.0,,0.0,1000.0,0.0,0.0
1 0700.221.91.334.50 2024 (1826),,,OTROS SUMINISTROS COVID-19,1000.0,0.0,,0.0,0.0,0.0,0.0
1 0700.221.99.326.10 2024 (1741),,,OTROS SUMINISTROS,6000.0,6000.0,,9961.28,-3961.28,9961.28,9773.94
1 0700.221.99.332.10 2024 (218),,,OTROS SUMINISTROS,8000.0,8000.0,,7109.26,890.74,7109.26,6840.42
1 0700.221.99.333.10 2024 (231),,,OTROS SUMINISTROS,5000.0,5000.0,,3849.44,1150.56,3849.44,3849.44
1 0700.221.99.334.30 2024 (271),,,OTROS SUMINISTROS,11000.0,11000.0,,15497.82,-4497.82,15497.82,14521.56
1 0700.221.99.334.50 2024 (1757),,,OTROS SUMINISTROS,15000.0,5000.0,,224.65,4775.35,224.65,224.65
1 0700.221.99.338.00 2024 (324),,,OTROS SUMINISTROS,120000.0,120000.0,,63859.85,56140.15,63859.85,62789.0
1 0700.224.99.326.10 2024 (1742),,,OTROS RIESGOS,4000.0,4000.0,,3432.0,568.0,3432.0,3432.0
1 0700.224.99.334.30 2024 (272),,,OTROS RIESGOS.SEGURO ALUMNOS,3090.0,3090.0,,1143.3,1946.7,1143.3,0.0
1 0700.226.01.326.10 2024 (1743),,,CANONES,900.0,900.0,,0.0,900.0,0.0,0.0
1 0700.226.01.332.10 2024 (1748),,,CANONES,500.0,500.0,,0.0,500.0,0.0,0.0
1 0700.226.01.334.10 2024 (249),,,CANONES,4000.0,4000.0,,8432.33,-4432.33,8432.33,6980.84
1 0700.226.01.334.21 2024 (256),,,CANONES,6500.0,6500.0,,4006.87,2493.13,4006.87,4006.87
1 0700.226.01.334.22 2024 (261),,,CANONES,8000.0,8000.0,,8054.99,-54.99,8054.99,8011.99
1 0700.226.01.334.40 2024 (280),,,CANONES,3000.0,3000.0,,2420.0,580.0,2420.0,1292.61
1 0700.226.01.338.00 2024 (325),,,CANONES S.G.A.E.,22000.0,22000.0,,16940.0,5060.0,16940.0,13021.48
1 0700.226.02.326.10 2024 (1744),,,ATT.,900.0,900.0,,785.4,114.6,785.4,785.4
1 0700.226.02.332.10 2024 (219),,,ATENCIONES ,500.0,500.0,,156.0,344.0,156.0,156.0
1 0700.226.02.334.22 2024 (1293),,,ATENCIONES PROTOCOLARIAS Y ,2600.0,2600.0,,3427.7,-827.7,3427.7,3427.7
1 0700.226.02.338.00 2024 (326),,,ATENCIONES ,7000.0,7000.0,,5265.94,1734.06,5265.94,5265.94
1 0700.226.03.330.00 2024 (208),,,"PUBLICACIONES, PUBLICIDAD Y ",62795.2,62795.2,,72513.48,-9718.28,72513.48,65770.83
1 0700.226.03.332.10 2024 (220),,,"PUBLICACIONES, PUBLICIDAD Y ",500.0,500.0,,352.5,147.5,352.5,352.5
1 0700.226.03.333.30 2024 (243),,,"PUBLICACIONES, PUBLICIDAD Y ",6000.0,6000.0,,1896.4,4103.6,1896.4,1896.4
1 0700.226.03.334.10 2024 (250),,,"PUBLICACIONES, PUBLICIDAD Y ",6000.0,6000.0,,5203.0,797.0,5203.0,4208.16
1 0700.226.03.334.21 2024 (257),,,"PUBLICACIONES, PUBLICIDAD Y ",3800.0,3800.0,,949.85,2850.15,949.85,949.85
1 0700.226.03.334.22 2024 (262),,,"PUBLICACIONES, PUBLICIDAD Y ",22600.0,22600.0,,20798.62,1801.38,20798.62,19588.62
1 0700.226.03.334.30 2024 (273),,,"PUBLICACIONES, PUBLICIDAD Y ",4000.0,4000.0,,4438.53,-438.53,4438.53,3855.31
1 0700.226.03.334.40 2024 (281),,,"PUBLICACIONES, PUBLICIDAD Y ",12000.0,5000.0,,2147.6,2852.4,2147.6,2147.6
1 0700.226.03.338.00 2024 (327),,,"PUBLICACIONES, PUBLICIDAD Y ",13175.0,13175.0,,6839.93,6335.07,6839.93,6839.93
1 0700.226.05.332.10 2024 (221),,,REUNIONES Y CONFERENCIAS,3920.0,3920.0,,1344.0,2576.0,1344.0,1344.0
1 0700.226.05.333.30 2024 (244),,,REUNIONES Y CONFERENCIAS,1000.0,1000.0,,425.6,574.4,425.6,425.6
1 0700.226.05.334.30 2024 (274),,,REUNIONES Y CONFERENCIAS,10600.0,10600.0,,13724.48,-3124.48,13724.48,13377.67
1 0700.226.06.334.10 2024 (2433),,,JARDUERA SOCIOKULTURALAK,100000.0,100000.0,,89014.92,10985.08,89014.92,89014.92
1 0700.226.06.334.30 2024 (275),,,ACTIVIDADES SOCIO-CULTURALES,50500.0,50500.0,,1355.2,49144.8,1355.2,1355.2
1 0700.226.06.337.20 2024 (317),,,ACTIVIDADES SOCIO-CULTURALES,66150.0,66150.0,,63178.38,2971.62,63178.38,52604.8
1 0700.226.06.338.00 2024 (328),,,ACTIVIDADES SOCIO-CULTURALES,155000.0,168000.0,,177042.81,-9042.81,177042.81,174430.45
1 0700.226.81.337.20 2024 (318),,,OTROS GASTOS DIV.OFICINA INFORM.,2000.0,2000.0,,1885.18,114.82,1885.18,1885.18
1 0700.226.92.337.20 2024 (319),,,GASTOS ALBERGUE.COLONIA ARRATE,12000.0,0.0,,0.0,0.0,0.0,0.0
1 0700.226.99.333.30 2024 (488),,,CENTRO INTERPR.GUERRA CIVIL EN ,20000.0,600.0,,537.12,62.88,537.12,537.12
1 0700.227.04.332.10 2024 (222),,,CONTRATOS SOCIO-CULTURALES,24052.8,24052.8,,20334.0,3718.8,20334.0,18576.0
1 0700.227.04.334.10 2024 (251),,,CONTRATOS SOCIO-CULTURALES,50000.0,50000.0,,107708.94,-57708.94,107708.94,106767.34
1 0700.227.04.334.21 2024 (258),,,CONTRATOS SOCIO-CULTURALES,60000.0,60000.0,,43494.15,16505.85,43494.15,43494.15
1 0700.227.04.334.22 2024 (263),,,CONTRATOS SOCIO-CULTURALES,170000.0,164000.0,,164069.8,-69.8,164069.8,164069.8
1 0700.227.04.334.30 2024 (276),,,CONTRATOS SOCIO-CULTURALES,10000.0,10000.0,,11126.5,-1126.5,11126.5,3206.5
1 0700.227.04.334.50 2024 (1758),,,CONTRATOS SOCIO-CULTURALES,65000.0,65000.0,,67460.3,-2460.3,67460.3,66260.3
1 0700.227.04.337.20 2024 (321),,,CONTRATOS SOCIO-CULTURALES,3605.0,3605.0,,0.0,3605.0,0.0,0.0
1 0700.227.04.338.00 2024 (329),,,CONTRATOS SOCIO-CULTURALES,278000.0,380900.0,,428018.93,-47118.93,428018.93,427009.91
1 0700.227.90.326.10 2024 (2430),,,TRABAJOS EXTERIORES,5000.0,5000.0,,1786.5,3213.5,1786.5,1786.5
1 0700.227.90.333.10 2024 (232),,,TRABAJOS EXTERNOS,265000.0,265000.0,,265000.0,0.0,265000.0,242739.95
1 0700.227.90.333.30 2024 (245),,,TRABAJOS EXTERNOS,30000.0,27100.0,,20618.82,6481.18,20618.82,18086.76
1 0700.227.90.334.10 2024 (252),,,CONTRATOS A TAQUILLA,20000.0,20000.0,,0.0,20000.0,0.0,0.0
